T[s];D1-Rate[Hz];E1-Rate[Hz];F1-Rate[Hz];G1-Rate[Hz];H1-Rate[Hz];J1-Rate[Hz];C2-Rate[Hz];D2-Rate[Hz];E2-Rate[Hz];F2-Rate[Hz];G2-Rate[Hz];H2-Rate[Hz];J2-Rate[Hz];K2-Rate[Hz];B3-Rate[Hz];C3-Rate[Hz];D3-Rate[Hz];E3-Rate[Hz];F3-Rate[Hz];G3-Rate[Hz];H3-Rate[Hz];J3-Rate[Hz];K3-Rate[Hz];L3-Rate[Hz];C4-Rate[Hz];D4-Rate[Hz];E4-Rate[Hz];F4-Rate[Hz];G4-Rate[Hz];H4-Rate[Hz];J4-Rate[Hz];K4-Rate[Hz];L4-Rate[Hz];M4-Rate[Hz];C5-Rate[Hz];D5-Rate[Hz];E5-Rate[Hz];F5-Rate[Hz];G5-Rate[Hz];H5-Rate[Hz];J5-Rate[Hz];K5-Rate[Hz];L5-Rate[Hz];M5-Rate[Hz];C6-Rate[Hz];D6-Rate[Hz];E6-Rate[Hz];F6-Rate[Hz];G6-Rate[Hz];H6-Rate[Hz];J6-Rate[Hz];K6-Rate[Hz];L6-Rate[Hz];M6-Rate[Hz];C7-Rate[Hz];D7-Rate[Hz];E7-Rate[Hz];F7-Rate[Hz];G7-Rate[Hz];H7-Rate[Hz];J7-Rate[Hz];K7-Rate[Hz];L7-Rate[Hz];M7-Rate[Hz];D8-Rate[Hz];E8-Rate[Hz];F8-Rate[Hz];G8-Rate[Hz];H8-Rate[Hz];J8-Rate[Hz];K8-Rate[Hz];L8-Rate[Hz];M8-Rate[Hz];D9-Rate[Hz];E9-Rate[Hz];F9-Rate[Hz];G9-Rate[Hz];H9-Rate[Hz];J9-Rate[Hz];K9-Rate[Hz];L9-Rate[Hz];M9-Rate[Hz];B10-Rate[Hz];C10-Rate[Hz];D10-Rate[Hz];E10-Rate[Hz];F10-Rate[Hz];G10-Rate[Hz];H10-Rate[Hz];J10-Rate[Hz];K10-Rate[Hz];L10-Rate[Hz];C11-Rate[Hz];D11-Rate[Hz];E11-Rate[Hz];F11-Rate[Hz];G11-Rate[Hz];H11-Rate[Hz];J11-Rate[Hz];K11-Rate[Hz];D12-Rate[Hz];E12-Rate[Hz];F12-Rate[Hz];G12-Rate[Hz];H12-Rate[Hz];J12-Rate[Hz]
490;1,4;0,2;0;0,1;3,5;2,8;0;0,7;0,1;0;0,2;4,3;0,8;0;0,3;1,2;1,6;0;1,2;0,1;0,2;0;0;0;0,9;0,9;0;0,1;0,8;0,4;0;0;0;0;10,8;1,1;2,5;0,1;0,4;3,2;3,8;0;0;0;1,9;2;0;0;0;0,8;1,8;0,3;0;0;1,3;3,7;0;0;0,4;0;0;0;0;0;0,6;0;0;0;5;2,2;0,1;0;0;0,1;0;0;0;0;4,5;4,9;0;0;0;7,8;0,2;0;0;0;0;0;0,2;0;2;0,6;0;0;0;0;0,4;0;1,3;0;0;0;0;0
500;0,7;0,2;0;0,1;2,9;2,7;0;0,4;0,3;0;0,3;5,7;0,2;0;0,1;0,1;1,1;0,1;0,1;0;0,1;0,2;0;0;0,1;0,6;0;0;0,2;0;0;0;0;0;9,1;0,1;0,9;0;0,2;2,8;1,5;0;0;0;0,5;1,4;0;0;0;0,9;1;0,1;0;0;0,4;2;0;0;0;0;0;0,1;0;0;0,4;0;0;0;3,3;2;0;0;0;0;0;0;0;0;2,5;4,4;0;0;0,1;3,4;0;0;0;0;0;0;0,1;0;2,1;0;0;0;0;0;0,2;0,3;1,1;0;0;0;0;0,1
510;0,3;0,1;0;0;3,7;2,6;0;0,5;0;0;0,1;3,2;0;0;0;0;1;0,2;0;0,3;0;1,7;0;0;0,1;0,1;0;0;0;0;0;0;0;0;4,2;0;0,8;0;0;0,9;0,8;0;0;0;0,1;0,9;0;0;0;0,1;3,1;0,3;0;0;0;0,3;0;0;0;0;0;0;0;0;0,2;0;0;0;2,3;1,4;0;0;0;0;0;0;0;0;1,8;2,9;0;0;0,1;3,7;0;0;0;0;0;0;0,4;0;1;0;0;0;0;0;0,1;0;0,6;0;0;0;0;0
520;0,2;0,1;0;0;2,2;0,9;0;0,2;0;0;0,1;0,6;0,5;0,1;0;0;0,6;0,1;0;0,2;0,1;0;0;0;0;0,1;0;0;0;0,2;0;0;0;0;3,4;0,1;0,7;0;0;0,2;0;0;0;0;0;0,2;0;0;0;0,2;0,6;0;0;0;0,1;0,1;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0,7;1,8;0;0;0;0;0;0;0,1;0;1,2;1,7;0;0;0;2,6;0;0;0;0;0;0;0,3;0;0,7;0;0;0;0;0;0,1;0;0,6;0;0;0;0;0,2
530;0;0,1;0;0;2,4;0,3;0,1;0;0;0;0;0,1;0;0;0;0;0,7;0;0,1;0;0;0,1;0;0;0;0,2;0;0;0;0;0;0;0;0;2,8;0;0,3;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;1,8;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,7;1,6;0;0;0;0;0;0;0,1;0;0,3;1,3;0;0;0;0,8;0;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0
540;0;0;0;0;4,5;0,1;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0,2;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;2;0;0,2;0;0;0,1;0;0;0;0;0;0,1;0;0,1;0;0;0,6;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0,5;1;0;0;0;0;0;0;0;0;0,9;0,4;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
550;0;0;0;0;4,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;1,1;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0,3;0,5;0;0;0;0;0;0;0;0;0,6;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
560;0;0;0;0;2,6;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0
570;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
580;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,5;0,2;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
600;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
620;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
630;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0
650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0
670;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
690;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0
700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0
750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
760;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
780;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0
820;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
830;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
840;0;0;0;0;0;0;0,2;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0
850;0,1;0,1;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
860;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0
870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0
890;0;0;0;0;0;0;0;0,1;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0
900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,2;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
910;0;0;0,1;0;0;0;0,1;0,1;0,8;0;0;0;0,2;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
920;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;2,3;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0
930;0,1;0,1;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0,3;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;1;0,2;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
940;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,5;0;0;0;0;0;0;0;0;0;0,4;2;0;0;0;0;0;0;0;0,4;0,5;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
950;0;0;0;0;0;0;0;0;0;0;0;0,1;0,8;0;0;0,1;0,1;0;0,1;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,6;0;0;0;0;0;0;0;0,8;0,1;0;0;0;0;0;0;0;0;0,9;5,3;0;0;0;0;0;0;0,3;0,7;1,2;0;0;0;0,1;0;0;0;0;0,1;0;0,3;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0,2
960;0;0;0;0;0;0;0;0,1;0;0;0;0;0,3;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0,1;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,3;0,3;0;0;0;0;0;0;0;0;0,7;0;0,1;0;0;0,1;0;0;0;0,3;0,7;1,2;0;0;0;0;0;0,1;0,3;2,6;0,7;0;0;0;0,1;0;0;0;0;0,1;0;0,4;0;0;0;0;0;0;0;0,6;0,2;0;0;0;0;0;0
970;0,1;0,1;0;0;0,2;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0,2;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,3;0,1;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0,1;0,4;1,4;0;0;0;0;0;0;0,5;3,3;1,6;0;0;0;0;0;0;0;0;0,2;0,1;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
980;0;0;0;0;0,2;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,2;0,1;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,2;0,3;0;0;0;0;0;0;0;0,1;0,2;0,1;0;0;0;0;0;0,1;0,1;0,6;1,6;0;0;0;0;0;0;0,2;3,7;5,7;0,1;0;0;0;0;0;0;0;0,1;0,1;0,3;0;0;0;0;0;0;0;0,2;0,1;0;0;0;0;0;0,1
990;0;0;0;0;0;0;0;0;0;0;0;0;1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,5;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0,8;1,1;0;0;0,1;0,1;0;0;0;0,3;0;0,2;0;0;0;0;0;0;0;0,6;1,5;0;0;0;0;0;0;0,3;1,7;7,4;0;0;0;0;0;0;0;0;0,1;0,4;0,3;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0
1000;0;0;0;0;0,7;0,4;0;0;0;0;0;0;0,3;0;0;0;0;0;0,1;0,4;0,2;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0,4;0;0;0;0;0;0;0;0;0;0,1;0,7;1;0;0;0;0;0;0;0;0;0,2;0,1;0;0;0;0;0;0;0,1;1;1,5;0;0;0;0;0;0;0,4;2,4;5,9;0;0;0;0;0;0;0;0;0,1;0,1;0,2;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0
1010;0;0;0;0;0,3;0;0;0;0,1;0;0;0;0,4;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0,1;0;0,4;0;0;0;0;0;0;0;0;0;0,2;0,9;0;0;0;0;0;0;0,1;0;0,1;1,2;0,3;0;0;0,1;0;0;0;0,1;0,3;0,2;0,3;0;0;0;0;0;0;0,1;0,7;1,1;0;0;0;0;0;0,1;0,1;1,7;8,3;0;0;0;0;0;0;0;0;0,1;0,1;0,3;0;0;0;0,2;0;0;0,1;0,2;0;0;0;0;0;0,1;0
1020;0,2;0;0;0;0;0;0;0;0,4;0;0;0;0,3;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0,1;0,2;0,5;0;0;0;0;0;0,1;0;0;0,2;0,6;0,5;0;0;0,1;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0,1;0,6;3,2;0;0;0,1;0;0;0;0,2;0,8;5,2;0,1;0;0;0;0;0;0;0;0,1;0;0,2;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0
