T[s];D1-Rate[Hz];E1-Rate[Hz];F1-Rate[Hz];G1-Rate[Hz];H1-Rate[Hz];J1-Rate[Hz];D2-Rate[Hz];E2-Rate[Hz];F2-Rate[Hz];G2-Rate[Hz];H2-Rate[Hz];J2-Rate[Hz];K2-Rate[Hz];B3-Rate[Hz];C3-Rate[Hz];D3-Rate[Hz];E3-Rate[Hz];F3-Rate[Hz];G3-Rate[Hz];H3-Rate[Hz];J3-Rate[Hz];K3-Rate[Hz];L3-Rate[Hz];A4-Rate[Hz];B4-Rate[Hz];C4-Rate[Hz];D4-Rate[Hz];E4-Rate[Hz];F4-Rate[Hz];G4-Rate[Hz];H4-Rate[Hz];A5-Rate[Hz];B5-Rate[Hz];C5-Rate[Hz];D5-Rate[Hz];E5-Rate[Hz];F5-Rate[Hz];G5-Rate[Hz];H5-Rate[Hz];J5-Rate[Hz];A6-Rate[Hz];B6-Rate[Hz];C6-Rate[Hz];D6-Rate[Hz];E6-Rate[Hz];F6-Rate[Hz];G6-Rate[Hz];H6-Rate[Hz];J6-Rate[Hz];A7-Rate[Hz];B7-Rate[Hz];C7-Rate[Hz];D7-Rate[Hz];F7-Rate[Hz];G7-Rate[Hz];H7-Rate[Hz];J7-Rate[Hz];A8-Rate[Hz];B8-Rate[Hz];C8-Rate[Hz];D8-Rate[Hz];E8-Rate[Hz];G8-Rate[Hz];H8-Rate[Hz];J8-Rate[Hz];A9-Rate[Hz];B9-Rate[Hz];C9-Rate[Hz];D9-Rate[Hz];E9-Rate[Hz];F9-Rate[Hz];G9-Rate[Hz];H9-Rate[Hz];J9-Rate[Hz];B10-Rate[Hz];C10-Rate[Hz];D10-Rate[Hz];E10-Rate[Hz];F10-Rate[Hz];G10-Rate[Hz];H10-Rate[Hz];J10-Rate[Hz];C11-Rate[Hz];D11-Rate[Hz];E11-Rate[Hz];F11-Rate[Hz];G11-Rate[Hz];H11-Rate[Hz];J11-Rate[Hz];D12-Rate[Hz];E12-Rate[Hz];F12-Rate[Hz];G12-Rate[Hz];H12-Rate[Hz];J12-Rate[Hz]
570;0,1;0;0;0;0,2;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0
580;0;0;0;0;0,1;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0
590;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,3;0;0;0;0;0;0;0;0;0;0
620;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0
630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;0;0;0
640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0
660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0;0;0;0;0
670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0;0;0
680;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0
720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0
770;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
790;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0
800;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0,1;0;0;0;0
820;0;0;0;0,1;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0
830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;2,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0
850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,6;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0
860;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
870;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,1;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0,1;0;0;0;0;0;0;0;0,1;0;0,3;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0
880;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,2;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0
890;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,3;0;0,2;0;0;0;0;0;0;1,5;0;0;0;0;0;0,9;0,1;0;0;0;0;0;0;0;0;0;0;0
900;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0,1;1,5;0;0;0;0;0;0;0,1;1,1;0;0;0;0;0;0,1;0,6;0;0;0;0;0;0;0;0;0;0;0
910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,2;0,2;0,3;0;0;0,1;0;0,1;0;0;0,3;0,1;0;0;0;0;0,5;0;0,1;0;0;0;0;0,2;0;0;0;0;0
920;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,8;0;0;0;0;0;0;0;0,1;0;0,3;0;0;0;0;0;0,1;0,1;0,9;0;0;0;0;0;0;0;0;0;0
930;0;0;0;0;0;0;1,3;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;1,7;0;0,8;0;0;0;0;0;0;0;0,3;0;0;0;0;0,1;0;0,2;0;0,1;0;0;0;0;0;0;0;0;0
940;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0,1;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,2;0,1;0;0;0;0;2;0,2;0,3;0;0;0;0;0;0;0,2;0,5;0,1;0,1;0;0;0;0,3;0,7;0,2;0,1;0,1;0;0;0;0;0;0;0;0
950;0;0;0;0,8;0;0;0,6;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0,3;0;0,2;0;0;0;0;0,1;0;0,1;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;1,4;0;2,1;0;0;0;0;0;0;0,5;0,3;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0;0,1;0
960;1,2;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;1;0,1;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;1,4;0;0;0;0;0,1;0;0;0,1;0,2;0;0;0;0;1,4;0;2,3;0;0;0;0;0;0,1;0,1;0,4;0,1;0;0;0;0;0,1;0,2;0;0,1;0;0;0;0;0;0;0;0,1;0
970;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;1,5;0,1;1,7;0;0;0;0;0;0,1;0,2;0,1;0,1;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0
980;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;1,7;0,3;0,7;0;0;0;0;0;0;0;0,3;0,1;0;0;0;0;0,3;0,3;0,1;0;0;0;0;0;0;0;0;0;0
990;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,1;0,2;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0
1000;0,1;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,5;0;0,3;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0
1010;0;0;0;0;0;0,1;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0,1;0,8;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0
1020;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,3;0;0,9;0,1;0;0;0,1;0;0,1;0,2;0,5;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0
1030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0,1;0;0,1;0,2;0;0;0,1;0;0;0;1,2;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0
1040;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,2;0;0,1;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1050;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0,1;0,3;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0
1060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0
1070;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0
1080;0;0;0,1;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0
1090;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0
1110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0
1120;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1140;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baseline ;0;0;0,007692308;0;0;0;0;0,007692308;0,007692308;0;0;0;0;0;0;0;0;0;0,007692308;0;0;0;0,007692308;0,007692308;0;0,015384615;0;0;0;0,007692308;0;0,007692308;0;0;0;0,015384615;0;0;0,007692308;0;0;0;0;0;0,007692308;0;0;0,007692308;0;0;0;0;0;0,023076923;0;0,007692308;0;0;0;0,007692308;0;0;0,015384615;0;0;0;0;0;0;0,007692308;0;0;0;0;0;0;0,030769231;0,030769231;0;0;0;0;0;0,030769231;0,007692308;0;0;0;0;0;0;0;0;0;0
CCh1;0,307692308;0,007692308;0;0,015384615;0,269230769;0;0,023076923;0,023076923;0,015384615;0;0,015384615;0;0;0;0;0,015384615;0,069230769;0,076923077;0,023076923;0,223076923;0;0;0,015384615;0;0,038461538;0;0,015384615;0,023076923;0,315384615;0,023076923;0,038461538;0,007692308;0,007692308;0,015384615;0,015384615;0,046153846;0,223076923;0,369230769;0,676923077;0;0;0;0;0,038461538;0,046153846;0,069230769;0,069230769;0,661538462;0;0;0,007692308;0;0,184615385;0,053846154;0,546153846;0,692307692;0;0;0,015384615;0,023076923;0,046153846;0,515384615;0,015384615;0,715384615;0,023076923;0;1,123076923;0,161538462;2,646153846;0,5;0,107692308;0,030769231;0,146153846;0,046153846;0,030769231;1,446153846;0,969230769;0,430769231;0,084615385;0,015384615;0,023076923;0;0,507692308;1,261538462;0,446153846;0,053846154;0,084615385;0;0;0,730769231;0,038461538;0;0;0,023076923;0,007692308
