,sweep_1,sweep_2,sweep_3,sweep_4,sweep_5
65,-0.000164625,0.0003125625,0.0003284375,-0.0002016875,0.0001353125
66,-0.000102125,0.0003438125,0.0003284375,-0.0001391875,0.0002603125
67,-8.375e-06,0.0002188125,0.0002971875,-0.0002329375,0.0001665625
68,-3.9625e-05,0.0001875625,0.0003284375,-0.0001079375,7.28125e-05
69,2.2875e-05,0.0001563125,0.0003284375,-0.0001079375,-8.34375e-05
70,-3.9625e-05,0.0001875625,0.0004534375,-1.41875e-05,1.03125e-05
71,-0.000102125,0.0002813125,0.0003909375,-1.41875e-05,7.28125e-05
72,-0.000102125,0.0001875625,0.0003596875,-0.0001079375,0.0001978125
73,-0.000133375,0.0001250625,0.0002659375,-0.0001391875,0.0002603125
74,-7.0875e-05,0.0002500625,0.0002346875,-0.0001704375,0.0001978125
75,-7.0875e-05,0.0001875625,0.0002971875,-7.66875e-05,4.15625e-05
76,-7.0875e-05,0.0001250625,0.0004221875,-0.0002329375,1.03125e-05
77,-3.9625e-05,0.0001250625,0.0004221875,-0.0001391875,0.0001040625
78,-7.0875e-05,0.0001250625,0.0004221875,-0.0001391875,0.0002290625
79,-0.000102125,0.0002500625,0.0003909375,-0.0001391875,0.0002290625
80,-3.9625e-05,0.0002813125,0.0002346875,-0.0001391875,0.0001665625
81,8.5375e-05,9.38125e-05,0.0001409375,-0.0001079375,1.03125e-05
82,-3.9625e-05,6.25e-08,0.0001409375,-4.54375e-05,7.28125e-05
83,-0.000164625,0.0001250625,0.0003284375,-0.0002016875,4.15625e-05
84,-0.000102125,0.0001875625,0.0004846875,-0.0002641875,0.0001978125
85,-3.9625e-05,0.0002813125,0.0005471875,-0.0002954375,0.0001978125
86,0.000116625,0.0002188125,0.0003284375,-0.0002329375,0.0001353125
87,-3.9625e-05,6.25625e-05,0.0002346875,-7.66875e-05,4.15625e-05
88,-0.000133375,6.25625e-05,0.0002971875,-7.66875e-05,0.0001040625
89,-0.000227125,0.0001563125,0.0004221875,-0.0002016875,0.0002290625
90,-0.000133375,0.0002500625,0.0005159375,-0.0002641875,0.0002290625
91,-8.375e-06,0.0003125625,0.0005784375,-0.0002641875,0.0001665625
92,8.5375e-05,0.0003750625,0.0004534375,-0.0001079375,0.0001040625
93,8.5375e-05,0.0002813125,0.0003284375,-4.54375e-05,4.15625e-05
94,-7.0875e-05,0.0001563125,0.0001721875,-0.0001391875,0.0001040625
95,-0.000195875,0.0001875625,0.0001721875,-0.0002641875,0.0002290625
96,-0.000164625,0.0002188125,0.0002659375,-0.0002954375,0.0002603125
97,-7.0875e-05,0.0001563125,0.0003596875,-0.0002016875,0.0002290625
98,-3.9625e-05,6.25625e-05,0.0004846875,-0.0001079375,4.15625e-05
99,-8.375e-06,6.25625e-05,0.0004846875,4.83125e-05,-0.0001459375
100,-0.000102125,0.0001875625,0.0003596875,1.70625e-05,-0.0001146875
101,-0.000195875,0.0002813125,0.0003284375,-0.0002016875,0.0001353125
102,-0.000164625,0.0003750625,0.0003284375,-0.0003266875,0.0002290625
103,-7.0875e-05,0.0002813125,0.0003284375,-0.0002329375,0.0001353125
104,-7.0875e-05,0.0001250625,0.0005471875,-7.66875e-05,4.15625e-05
105,-0.000102125,0.0001563125,0.0005471875,1.70625e-05,7.28125e-05
106,-7.0875e-05,6.25625e-05,0.0003596875,-7.66875e-05,0.0001353125
107,-0.000195875,0.0002188125,0.0002971875,-0.0001704375,0.0001353125
108,-7.0875e-05,0.0003125625,0.0001721875,-0.0002954375,0.0002290625
109,2.2875e-05,0.0002500625,0.0003909375,-0.0002641875,0.0002603125
110,-8.375e-06,0.0002188125,0.0004534375,-0.0001391875,0.0002290625
111,-0.000164625,0.0001875625,0.0004846875,-7.66875e-05,0.0001353125
112,-0.000164625,0.0001875625,0.0002971875,-0.0001079375,0.0001665625
113,-7.0875e-05,0.0001563125,0.0002346875,-4.54375e-05,0.0001665625
