,Sweep #,Voltage2[V],Ipp_bas[A],Ipp_beg[A],Ipp_end[A],Ipeak[A],Isus[A],Imax[A],Max_end[A],t_peak[s],Cslow[F],Rseries[Ohm],condition
2,3,-0.05,6.62e-13,1.48e-11,-2.15e-13,-1.79e-11,5.42e-12,5.06e-11,4.37e-11,0.0168,4.98e-11,7140000.0,ko
3,4,-0.045,-3.05e-12,-1.37e-11,-4.55e-12,-5.17e-11,1.27e-11,5.86e-11,4.79e-11,0.00455,4.98e-11,7140000.0,ko
4,5,-0.04,8.82e-13,-2.47e-12,1.68e-12,-1.55e-10,4.53e-11,8.36e-11,4.24e-11,0.0049,4.98e-11,7140000.0,ko
5,6,-0.035,8.08e-12,1.99e-11,6.7e-12,-1.37e-08,1.33e-10,3.41e-10,7.93e-11,0.00355,4.98e-11,7140000.0,ko
6,7,-0.03,5.02e-13,-1.11e-11,-2.03e-13,-1.29e-08,1.6e-10,3.9e-10,1e-10,0.002,4.98e-11,7140000.0,ko
7,8,-0.025,-3.41e-12,2.64e-12,-4e-12,-1.28e-08,2.16e-10,4.73e-10,9.71e-11,0.00145,4.98e-11,7140000.0,ko
8,9,-0.02,1.97e-12,1.03e-11,1.29e-12,-1.34e-08,3.57e-10,5.63e-10,1.16e-10,0.00115,4.98e-11,7140000.0,ko
9,10,-0.015,3.28e-12,7.8e-12,1.92e-12,-1.37e-08,5.83e-10,8.07e-10,1.14e-10,0.001,4.98e-11,7140000.0,ko
10,11,-0.01,7.09e-12,-1.02e-11,6.59e-12,-1.35e-08,9.46e-10,1.19e-09,1.29e-10,0.00085,4.98e-11,7140000.0,ko
11,12,-0.005,-3.2e-12,2.95e-12,-3.7e-12,-1.31e-08,1.42e-09,1.58e-09,1.15e-10,0.0008,4.98e-11,7140000.0,ko
12,13,0.0,4.73e-12,3.77e-12,2.28e-12,-1.24e-08,2.15e-09,2.21e-09,1.44e-10,0.00075,4.98e-11,7140000.0,ko
13,14,0.005,-1.61e-12,3.7e-11,-1.28e-12,-1.17e-08,3.14e-09,3.21e-09,1.65e-10,0.0007,4.98e-11,7140000.0,ko
14,15,0.01,5.81e-12,2.91e-11,3.83e-12,-1.07e-08,4.34e-09,4.39e-09,1.58e-10,0.0007,4.98e-11,7140000.0,ko
15,16,0.015,5.66e-12,-1.46e-11,1.98e-12,-9.9e-09,5.69e-09,5.74e-09,1.75e-10,0.00065,4.98e-11,7140000.0,ko
16,17,0.02,-6.96e-12,2.07e-11,-8.31e-12,-8.94e-09,7.04e-09,7.1e-09,2.17e-10,0.0006,4.98e-11,7140000.0,ko
17,18,0.025,-1.32e-12,7.59e-12,5.12e-14,-7.79e-09,8.47e-09,8.55e-09,1.97e-10,0.0006,4.98e-11,7140000.0,ko
18,19,0.03,-9.35e-12,4.47e-13,-8.04e-12,-6.91e-09,9.75e-09,9.8e-09,2.19e-10,0.00055,4.98e-11,7140000.0,ko
19,20,0.035,-3.44e-12,-3.85e-12,-2.15e-12,-6.03e-09,1.12e-08,1.13e-08,2.62e-10,0.00055,4.98e-11,7140000.0,ko
20,21,0.04,2.97e-12,-1.24e-11,2.36e-12,-5.14e-09,1.26e-08,1.26e-08,2.44e-10,0.00055,4.98e-11,7140000.0,ko
0,1,-0.06,-4.31e-12,-2.66e-12,-3.36e-12,-6.5e-12,1.56e-11,7.68e-11,6.05e-11,0.0236,3.37e-11,7790000.0,ko
1,2,-0.055,-5.91e-13,-7.33e-12,-7.78e-13,-3.58e-12,7.07e-12,5.12e-11,4.24e-11,0.0221,3.37e-11,7790000.0,ko
2,3,-0.05,2.6e-12,-7.26e-12,2.74e-12,1.61e-12,2.95e-11,7e-11,4.32e-11,0.0138,3.37e-11,7790000.0,ko
3,4,-0.045,4.45e-12,5.54e-12,4.83e-12,-5.81e-12,8.57e-11,1.21e-10,4.95e-11,0.0023,3.37e-11,7790000.0,ko
4,5,-0.04,-3.19e-12,7.43e-12,-6.79e-13,-7.46e-11,1.94e-10,2.34e-10,1.03e-10,0.0032,3.37e-11,7790000.0,ko
5,6,-0.035,2.79e-12,-7.17e-12,2.36e-12,-3.88e-09,2.89e-10,3.44e-10,1.07e-10,0.003,3.37e-11,7790000.0,ko
6,7,-0.03,2.91e-12,-2.83e-12,2.96e-12,-9.73e-09,4.13e-10,4.71e-10,1.54e-10,0.00255,3.37e-11,7790000.0,ko
7,8,-0.025,9.3e-13,-1.62e-11,3.02e-12,-9.91e-09,5.8e-10,6.29e-10,1.53e-10,0.00165,3.37e-11,7790000.0,ko
8,9,-0.02,-4.09e-13,8.42e-12,-2.16e-12,-9.98e-09,8.27e-10,8.72e-10,1.86e-10,0.00125,3.37e-11,7790000.0,ko
9,10,-0.015,-3.94e-12,6.31e-12,-5.1e-12,-9.78e-09,1.1e-09,1.14e-09,1.87e-10,0.00105,3.37e-11,7790000.0,ko
10,11,-0.01,1.1e-11,7.77e-12,1.07e-11,-9.33e-09,1.5e-09,1.55e-09,2.06e-10,0.0009,3.37e-11,7790000.0,ko
11,12,-0.005,1.75e-12,-2.1e-12,1.33e-12,-8.73e-09,2.15e-09,2.19e-09,2.2e-10,0.0008,3.37e-11,7790000.0,ko
12,13,0.0,-4.68e-14,2.58e-12,-1.75e-12,-8.02e-09,2.92e-09,2.97e-09,2.66e-10,0.00075,3.37e-11,7790000.0,ko
13,14,0.005,3.43e-12,-1.27e-11,2.11e-12,-7.3e-09,3.77e-09,3.85e-09,2.8e-10,0.0007,3.37e-11,7790000.0,ko
14,15,0.01,-2.92e-12,-5.85e-12,-2.3e-12,-6.56e-09,4.75e-09,4.79e-09,3e-10,0.00065,3.37e-11,7790000.0,ko
15,16,0.015,-7.41e-13,6.72e-12,9.42e-13,-5.86e-09,5.66e-09,5.74e-09,3.23e-10,0.0006,3.37e-11,7790000.0,ko
16,17,0.02,2.32e-12,4.05e-12,3.11e-12,-5.13e-09,6.71e-09,6.77e-09,3.57e-10,0.0006,3.37e-11,7790000.0,ko
17,18,0.025,-1.81e-12,1.83e-11,-8.91e-13,-4.51e-09,7.67e-09,7.78e-09,3.93e-10,0.00055,3.37e-11,7790000.0,ko
18,19,0.03,-2.49e-12,1.29e-12,-2.4e-12,-3.9e-09,8.55e-09,8.63e-09,3.87e-10,0.00055,3.37e-11,7790000.0,ko
19,20,0.035,-8.08e-13,-5.64e-12,5.81e-13,-3.36e-09,9.52e-09,9.58e-09,3.97e-10,0.0005,3.37e-11,7790000.0,ko
20,21,0.04,-6.1e-12,6.82e-12,-4.08e-12,-2.82e-09,1.03e-08,1.04e-08,4.56e-10,0.0005,3.37e-11,7790000.0,ko
